,Name of Dish,Instruction
100,Healthier Apple Crisp,"
Preheat oven to 375 degrees. Grease bottom and sides of 9x13 inch casserole dish with cooking spray or butter.

Core apples and cut the rest into small slices (~1/2 inch width). Spread apples in prepared casserole dish.

In small bowl, stir together flour, oats, cinnamon, nutmeg, and all spice. Then, stir in honey, coconut oil, and almond extract. Spread evenly over apples. Next, spread almonds over top of oat mixture.

Bake for 30 minutes, or until apples are tender. Serve warm.
"
101,Slow Cooker Mac and Cheese,"
Cook pasta according to box directions. Drain and set aside.

In small bowl, whisk the eggs.

In small pot over medium low heat, melt 4 tbsp of butter. Whisk in flour and continue whisking for 2 minutes.

Slowly pour in milk. Whisk until smooth. Let cook until thickened, about 7 minutes. Remove from heat.

Slowly pour ½ cup of sauce into the bowl with the eggs. Whisk constantly while pouring and until smooth. Once smooth, pour back into pot with remaining mixture. Stir in seasoned salt, and salt & pepper.

In slow cooker, slice remaining 4 tbsp of butter into pot. Layer pasta on bottom of pot and cover with grated cheddar & Velveeta cheeses. Continue layering until all of the pasta and cheeses are used.

Pour sauce evenly over top of ingredients in pot.

Cover and cook in slow cooker on low heat for 2 hours, stirring occasionally.
"
102,Sugar Cookies with Royal Icing,"
Preheat oven to 400.

Cream butter and sugar until light and fluffy.

Beat in egg and extracts.

Mix flour, baking powder and salt; add to butter mixture 1 cup at a time, mixing after each addition.

Divide into two balls. On a floured surface roll to ⅛ “.

Dip cookie cutters into flour and use to cut out cookies.

Bake on ungreased cookie sheet 6-7 min or until lightly browned (I use a silicone mat on an AirBake sheet).

Let cookies cool on pan for 2-3 minutes. Remove and finish cooling on wire cooking rack.

Stir together powdered sugar and meringue powder. Gradually still in water.

Pour in vanilla and stir until smooth.

Diving icing into number of bowls corresponding to number of colors you want to use.

I recommended adding 1-2 extra tbsp of powdered sugar to one of the bowls to make a thicker icing. This thicker icing is good for piping edges that you can let dry, and then flood the inside with a less viscous icing.

Add gel food coloring and mix until desired color is reached. NOTE: Liquid food coloring does NOT dry well, the icing comes out looking marbled.

Cover bowls with plastic wrap and let sit for at least 10 minutes to get the air bubbles out.

Icing can be applied using a pastry bag or bottles. I prefer Wilton 6oz squeeze bottles. NOTE: The icing can be tough to get into the bottles. Using a funnel with a tip as wide as can fit in the bottle opening is helpful.

If you are using more than one color, let the first one dry for 12-24 hours so the colors will not mix.

It is helpful to squeeze a thicker icing outline, then flood the center with icing. Working quickly, a spoon works well to spread it out, and a toothpick can help with fine details.
"
103,Lemon Blueberry Granola,"
Preheat oven to 300 degrees. Line a baking sheet with parchment paper or silicone mats.

In a small bowl, whisk together lemon zest, lemon juice, vanilla, cardamom, salt, coconut oil, maple syrup, and honey. Stir in all oats, seeds and blueberries.

Spread on prepared baking sheet. Bake for 45 minutes, stirring every 15 minutes.
"
104,North Carolina Sourdough Bread,"
In a glass or plastic bowl, combine yeast and water. Cover and refrigerate for 3 to 5 days. Do not store in a container that has metal, and do not use a metal spoon to mix (I use a wooden spoon).

In a medium sized bowl, mix together sugar, potato flakes, and warm water. Combine with starter. Again, do not use metal container or spoon.

Let starter sit out at room temperature for 5 to 12 hours.

To make bread, take out 1 cup of the fed starter, and return the remaining starter to refrigerator. To keep the starter in the refrigerator alive for future bread, you need to feed it every 3 to 5 days. Each time you feed it, you need to either use 1 cup for bread, or throw out a cup (if you do not do this it will deplete your starter).

Alternatively, you can double the bread recipe, which is what I do. A double recipe uses almost of of the starter so you don't have to keep the rest going, or throw it out.

In a very large bowl, combine sugar, corn oil, salt, water water, bread flour, and one cup of fed starter. Again, do not use any bowls or utensils with metal.

Once the dough has come together into a stiff batter, spray another large bowl with cooking spray.

Place dough in prepared bowl and turn dough over so that all sides of dough are covered with spray.

Cover bowl with a kitchen towel and let sit for 8-12 hours (overnight is perfect).

After 8-12 hours, punch down the dough and divide it into thirds.

On a floured surface, knead each third of dough 8 to 10 times.

Spray three loaf pans with cooking spraying and place dough in each of the pans.Turn dough over in prepared pan so that each side is coated with the cooking spray.

Cover pans with kitchen towel and let rise 5-8 hours.

Bake at 350 degrees for 30 to 35 minutes, or until tops are golden brown. Brush tops of bread with butter.
"
105,Lemongrass Curry Chicken,"
Heat olive oil in a large pot over medium-high heat. Add ginger, garlic, and onion. Saute until onion has softened, about 4 minutes.

Add in coconut milk, chicken broth, lime juice, lemon juice, lemongrass paste, curry, salt, pepper, and red pepper. Whisk until well combined.

Stir in chicken. Reduce heat to medium-low and simmer, uncovered, for 20 minutes.

Then, stir in red pepper, cauliflower, and snap peas. Simmer, uncovered, for an additional 20 minutes.

Serve over rice and/or with naan. Top with cilantro and lime juice if desired.
"
106,Corn Salsa,"
Mix all ingredients together.

Place in fridge for at least 2 hours before serving.
"
107,Skillet Cornbread,"
Preheat oven to 450 degrees.

In a heat proof bowl, mix together corn meal, sugar, and egg.

Pour oil in a cast iron skillet (9"" round) and place in pre-heated oven for 1 minute.

Pour oil into corn meal mixture and stir together well.

Use oil to coat entire inside of skillet. You can use a paper towel to spread the oil around that remains, or you may need to add 2 tsp more.

Pour corn meal mixture into skillet.

Bake for 20 minutes, or until top is golden and knife inserted into center of bread comes out clean.
"
108,Indian Pot Pie Turnovers,"
In large skillet over medium-high heat, add 1 teaspoon olive oil.

Once hot, add turkey with following garlic, cinnamon, cardamom, cumin, tumeric, ginger, cayenne, and salt. Stir constantly to break up meat until cooked through. Set aside.

In large pot, bring salted water to a boil. Add potatoes and vegetables. Boil until softened, about 10 minutes.

Remove vegetables from water and drain. Set aside.

In large pot over medium-high heat, add 1 tbsp butter, chilies, and chopped red onion. Saute for about 3 minutes, or until onion softened.

Add in fresh ginger, garlic, and boiled vegetables. Saute for 1-2 minutes. Use spatula to break up larger pieces of potato, cauliflower and broccoli into bite sized pieces

Then, add in turkey, flour, white wine, chicken stock, cumin, salt, tumeric, and lemon juice. Stir well. Simmer for 5-10 minutes, stirring occasionally.

Once mixture has thickened, remove from heat.

Preheat oven to 375 degrees.

On a floured surface, roll out thawed puff pastry. There are two large pasty rectangles in each puff pasty box. Cut each of these rectangles horizontally and then vertically to make four smaller rectangles out of each large sheet. Use a rolling pin to roll each smaller section into a larger square shape that is about 1.5 times it's original size.

Fill each of the rectangles with 1/8 of the turkey and vegetable mixture. Fold pastry in half to make a triangle. Use your fingers to press all along the edges, sealing it closed.

Using a knife, place 1-2 small slits in the top of each pasty.

Sprinkle a small amount of cumin on top of each of the pastries. 

In a small bowl, whisk together 1 egg with 1 teaspoon of water. Use a brush to brush the egg wash on the top of each pasty.

Place pastries on an ungreased baking sheet (I use baking mats or parchment paper to help not to burn the bottoms, and for easier clean up). Bake for 30 minutes.
"
109,Lemon Strawberry Cake,"
Preheat oven to 325 degrees. Line three, 8"" round pans with parchment paper. Flour and butter sides of pan (I use baking PAM for this).

In large mixing bowl, whisk together flour, cornstarch, salt, baking soda and baking powder.

Beat in sugar, eggs, oil, lemon juice, and zest, until well combined, about 2 minutes.

Then, mix in sour cream until well combined.

Divide batter among three prepared pans and bake for 25-30 minutes, or until tops are golden and toothpick in center of cake comes out with just a few crumbs.

Let cool before removing from pans and frosting.

Put thawed strawberries in blender and puree until smooth. Will make about 1 3/4 cups. Place 3/4 cup in small sauce pan to use for filling. Set remaining puree aside until preparing frosting.

Add sugar, lemon juice and cornstarch to strawberries and small sauce pan. 

Heat over medium heat, whisking constantly, until sauce thickens, about 10-15 minutes. Remove from heat.

Squish enough strawberries to make 1/4 cup of strawberry chunks. I used my hands to do this part. Stir strawberry chunks into mixture in pot.

Transfer mixture to container with lid and put in fridge for at least 2 hours. 

Heat remaining strawberry puree in small sauce pan over medium heat, stirring frequently for about 20 minutes. 

Remove from heat and transfer to container with lid. Place container in fridge for at least 2 hours.

In large mixing bowl, beat together butter and shortening on medium-high until light and fluffy, about 3 minutes. 

Beat in 1/2 cup powdered sugar, followed by 1 tablespoon cooled strawberry puree. Then beat in salt and vanilla. After this, add 1/2 powdered sugar and 1 tbsp strawberry puree at a time until desired consistency and strawberry taste is reached. You will likely not use all of the powdered sugar and puree.

Level cakes and place one layer on a cardboard round. 

Use frosting bag with large, round opening to pipe border around outside of cake. For this I use a #12 Wilton tip.


Fill inside of layer with half of cooled filling mixture.


Layer on second cake round and repeat. Place third layer on top.

Coat outside of cake with thin layer of frosting. Place cake in fridge for about 15-20 minutes.


Remove cake and finish frosting. I used the #12 tip to pipe the bottom of the cake and the frosting decor on top. Decorate with strawberries and lemon peel as desired.

"
110,Tropical Granola,"
Preheat oven to 300 degrees. Line a large baking sheet with parchment paper or a silicone mat.

In a medium sized bowl, use a fork to whisk together vanilla, salt, coconut oil, maple syrup and honey.

Then, stir in oats, hemp seeds, flax seeds, cranberries, pineapples, and coconut. Stir until well combined.

Spread mixture in even layer on prepared baking sheet. Bake for 35 minutes, stirring every 10-12 minutes.

Let cool completely before serving. Store in airtight container.
"
111,Mini Fruit Pizza,"
Roll dough to about 1/3"" thickness and cut into ~2.5"" round circles with a biscuit cutter or cup.

Bake for 12-13 minutes.

Let cool before decorating.

In a large bowl or stand mixer, beat together cream cheese, whipped topping, water, powdered sugar and corn starch until smooth.

Spread cream cheese mixture evenly over top of each cookie (about 1.5-2 tbsp per cookie).

Drain pineapple, then spread pineapple evenly over cream cheese mixture.

Use desired fruit to lay on top of pineapple (for mine, I used canned mandarin, strawberries, banana, and blueberries).

In a small pot over medium heat, whisk together sugar, lemon juice, orange juice, water and corn starch.

Whisk constantly until mix begins to bubble and thicken. Remove from heat and let cool.

Once cooled, spread over fruit.
"
112,Korean Beef Bowl,"
Combine all marinade ingredients in a medium sized bowl. Place beef in bowl and let sit for at least 30 minutes.

Heat a large skillet over medium-high heat. Brown each individual piece of beef for about 30 seconds a side. Remove each piece of beef as it cooks and return cooked beef to the marinade bowl.

Once beef has finished, add chopped onion to skillet. Cook until softened about 5 minutes.

Add beef and marinade back to skillet. Turn to low and cover. Simmer for about 5 minutes.

Fill a medium sized bowl with water and ice. Set aside.

Bring about 3 cups of water to a boil in a medium sized pot. Add carrots and green beans. Boil for 3 minutes. Use a slotted spoon to transfer vegetables to the prepared ice water.

Let vegetables cool, then use slotted spoon to transfer to another bowl.

Combine vinegar, sesame oil, and brown sugar. Pour over vegetables and toss well.

Bring 3 cups of water and salt to a boil. Stir in rice and cover. Reduce heat to low and simmer for 15 minutes, or until water is absorbed.

Serve beef with sauce over rice. Top with scallions and Gochujang sauce.
"
113,Peach Cobbler,"
Preheat oven to 350 degrees.

Melt butter and spread into bottom of 9x13 inch dish or 9 inch oval casserole dish.

Mix together 1 cup of sugar, flour, milk, and almond extract. Set aside.

Drain peaches and then place in large saucepan over medium heat. Mix in remaining 1/4 cup of sugar and lemon juice. Stir until sugar has dissolved, about 3-4 minutes. Remove from heat.

Gently pour sugar/flour mixture over butter.

Gently spoon peach mixture over sugar/flour mixture. DO NOT mix.

Sprinkle with cinnamon.

Bake for 40-45 minutes or until edges begin to brown and center is golden.
"
114,Churro Cake,"
First, brown the butter. To do this, melt butter in medium sized sauce pan over medium heat. Stir constantly until butter turns amber in color and has a nutty smell, about 10 minutes. Transfer butter to bowl and allow to re-harden for at least an hour. You can also put in the fridge and use again the next day.

When ready to make the cake, preheat oven to 350 degrees and line 3, 8"" baking pans with parchment paper. Grease and flour sides.

Beat together butter, brown sugar and light brown sugar on medium high speed until lightened and fluffy, about 3 minutes.

With mixer on low, slowly beat in eggs, egg yolks, grapeseed oil, and vanilla.

In medium sized bowl, whisk together flour, corn starch, baking powder, kosher salt, and cinnamon.

Slowly beat about 1/2 cup flour mixture into sugar/butter mixture. Then, beat in about 1/3 of the buttermilk. Alternate beating in rest of flour and buttermilk, ending with the flour.

Spread batter evenly between the three prepared pans.

Bake for 23-25 minutes, or until tops are golden and toothpick in center of cake comes out with just a few crumbs.

Let cool completely before assembling cake.

Preheat oven to 300 degrees. Line a large baking sheet with parchment paper or a silicone mat.

In a small bowl, mix together pecans, maple syrup, salt and cayenne paper.

Lay pecans out on prepared baking sheet. Bake for about 8 minutes, stir on pan, and then bake for another 8 minutes.

Let pecans cool for at least 5 minutes. Then, place pecans in a food processor and grind until they turn into a butter consistency, about 3-4 minutes. Set aside.

In a small pot over medium-low heat, add white chocolate, corn syrup, miso, salt, and brown sugar. Stir constantly until chocolate melts.

Once chocolate melts, turn heat to medium and consider stirring constantly until the mixture turns to a light brown color (just a little bit darker than the miso).

Remove from heat and slowly whisk in the heavy cream. Once cream and chocolate are well mixed, fold in the pecan butter.

Place in fridge for at least 6 hours before using. NOTE: I only use half of this for each cake, so I freeze the other half to use again. It freezes well in an airtight container and I have used it up to 6 months later.

In a small bowl, melt dark chocolate. To do this I place in microwave on 50% power in 30 second intervals, stirring after each interval. Once melted and smooth, repeat with white chocolate. Set aside to cool while you perform the rest of the steps. About 5 minutes is sufficient for them to cool down.

Beat together butter and shortening until light and fluffy, about 5 minutes.

Then, on medium speed, beat in powdered sugar about 1/2 cup at a time. Scrape down sides with spatula as needed.

Next, beat in vanilla, cinnamon and salt.

After this, slowly mix in melted chocolates. Once incorporated beat on high speed for about 30 seconds to mix thoroughly.

Mix in 3-4 tablespoons of heavy cream to reach desired consistency.

Assembly:

If needed, level cakes. As there is not much leavening and the cake does not rise much, I find I generally do not have to do this.

Place one layer of a cake on a cake board. Put frosting in a pasty bag and pipe boarder along outside of one layer. Fill inside boarder with desired amount of pralina filling (I use about 1/4 of the mixture for each layer). Place a second layer on top, and repeat. Finally, place third layer on top.


Use frosting lightly frost outside of cake. Place cake in fridge for about 15 minutes, then finish frosting/decorating as desired.

Use a cinnamon/sugar mixture to sprinkle top of cake.
"
115,Triple Chocolate Cookies,"
Microwave 4 ounces of the Baker's semi-sweet chocolate in 30 second intervals, stirring after each interval, until smooth. Set aside.

Using a mixer, beat together butter, sugar, and brown sugar until light. About 3 minutes.

Beat in eggs and vanilla extract until just combined, scraping down sides with spatula as needed.

Mix in melted chocolate until combined.

In a medium sized bowl, whisk together flour, corn start, baking soda, salt and cocoa powder.

Beat flour mixture into butter/sugar mixture 1/2 cup at a time, scraping down sides of bowl as needed.

Chop 2 ounces of the Baker's semi-sweet chocolate. Stir chopped chocolate along with 1 cup of chocolate chips into dough.

Place in refrigerator for at least 2 hours.

Once ready to bake, preheat oven to 375 degrees. Line baking sheets (I prefer air bake sheets for cookies) with parchment paper or silicone mats.

Scoop dough about 1 tbsp at a time onto prepared baking sheet. Place cookies about 2 inches apart.

Gently press down dough just a pit and place 2-3 dark chocolate chips into top of dough (this makes for pretty cookies).

Bake for 12-15 minutes. Let cool on baking sheet for 1-2 minutes and then move to cooling rack to finish cooling. 
"
116,Easy Homemade Ice Cream,"
Whisk together milk, honey, and vanilla.

Stir in strawberries and vanilla extract.

Place mixture in ice cream maker and use per manufacturer instructions (in my machine took 1 hour to be a soft serve consistency).
"
117,Restaurant Style Blender Salsa,"
Place all ingredients in a blender or food processor. Blend until well combined, about 1 minute.

Refrigerate for at least 1 hour before serving.
"
118,Cheesy Chicken Lasagna,"
Mix together salt, pepper, Italian seasoning, celery seed, and chicken broth. Pour over chicken.

Cook in Instant Pot on high for 13 minutes and let natural release for 10 minutes. Or, cook in slow cooker low for 6-8 hours, or high 4-5 hours. Or, line baking pan with aluminum foil, place chicken and mixture in foil and fold the foil up as tight as you can around the chicken;  then, bake at 350 degrees for about 40 minutes, or until chicken is cooked through.

Once chicken is cooked, remove from broth with slotted spoon. Shred chicken with two forks. Reserve broth for sauce. Set chicken aside.

Cook garlic and butter in large skillet over medium-high heat for 2 minutes. Turn to medium-low and add soups, oregano, pepper, dehydrated onion, and onion powder. Take 1 cup of broth from cooked chicken and also mix this into pan. Let simmer for about 3 minutes. Note: If you don't have enough broth, or you threw it out by accident, you can use pre-made chicken broth instead. I highly recommend the broth from the cooked chicken though as it has some tasty spices.

Preheat oven to 350 degrees. 

Cook lasagna noodles according to package directions. Or, do like I do, and get the oven ready lasagna noodles which make this recipe a breeze.

Cover bottom of a 9x13 casserole dish with about 1/2 cup sauce. Cover sauce with lasagna noodles (this will take about 4 noodles and you'll likely have to break one to make it fit). Cover noodles with 1/3 of the chicken, 1/3 of the sauce, and 1/3 of the mozzarella & cheddar cheeses. Repeat, but end with the last 1/2 of the sauce. Reserve the remaining mozzarella & cheddar.

Cover with aluminum foil and bake for 30 minutes. Then, remove foil, top with remaining mozzarella, cheddar, and parmesan cheeses. Bake for another 6-8 minutes, or until cheeses are bubbly.
"
119,Zucchini Crust Pepperoni Pizza,"
In a microwave safe bowl, heat grated zucchini for 5 minutes. Transfer to a colander and let drain. Once zucchini is cool enough to touch, use paper towels to squeeze out moisture.

Preheat oven to 450 degrees.

In a medium sized bowl, mix together zucchini, 1 1/4 cups flour, egg, Italian seasoning, kosher salt, pepper, and 2 tbsp olive oil.

Dough will be very sticky. Make it into a flat circle, about 5"" in diameter, as best as you can. Cover outside of dough with remaining 1/4 cup flour.

Spread dough evenly out on a pizza stone or parchment paper lined baking sheet. Brush remaining tbsp of olive oil over top of crust.

Bake for 15 minutes, or until top is golden brown.

Cover crust with pizza sauce, pepperoni, cheeses, parsley, and other desired toppings. Return to oven and bake for 7-8 minutes, or until cheese is bubbly.
"
120,Baked Blueberry Cake Donuts,"
Preheat oven to 350 degrees. Spray donut pan with baking spray.

In large bowl or base of a stand mixer, beat together butter, sugar, and brown sugar until smooth, about 3 minutes. Then beat in eggs, one at a time.

Stir together flour, cornstarch, almond flour, baking powder, salt, and cinnamon in a small bowl. Gradually beat into butter mixture. Once well combined, beat in milk and beat until smooth. Finally, stir in frozen blueberries.

Fill prepared donut pan slots 2/3 of the way full.

Bake for 15 minutes, or until toothpick placed into center of one of the middle donuts comes out with just a few crumbs. Note: You may need to adjust cooking time depending on the size and depth of your donut pans.

In a small pot over medium-high heat, stir together blueberries and sugar. Continue stirring, smashing with the spoon as you stir, until blueberries are mostly liquid. Stain cooked mixture. You will end up with about 1/4 cup of blueberry juice.

In a shallow bowl, stir together powdered sugar and 2-3 tbsp of the blueberry juice, until desired consistency is reached.

Once donuts have cooled, remove from pans. Dip tops of each donut in glaze. Decorate with sprinkles if desired.
"
121,Fresh Herb and Vegetable Couscous Salad,"
In a medium sized sauce pan over high heat, bring water to a boil. Once boiling, stir in couscous, butter, and salt. Cover and remove from heat. Let sit for 10 minutes, then fluff couscous.

In a medium sized bowl, stir together couscous, basil, oregano, cucumber, and tomatoes.

Mix together balsamic vinegar, olive oil, salt, and pepper in a small bowl.

Pour balsamic mixture over couscous and stir well. Finally, stir in feta cheese.
"
122,Skillet Shepherd’s Pie,"
Heat large, 12-inch, cast iron skillet over medium-high heat. Add ground beef and season with 1/2 tsp of salt and 1/2 tsp pepper. Cook until browned, about 5 minutes. Remove from heat and drain excess fat.

Add olive oil to skillet. Then, add onion, celery and garlic. Saute until softened, about 7 minutes.

Next, add frozen vegetables to skillet and saute for 3-4 minutes.

Stir tomato paste into mixture in skillet until well combined.

Add rosemary, thyme, oregano, parsley, worcestershire sauce, and beef broth. Stir very well.

Sprinkle flour evenly over mixture while constantly stirring.

Reduce to simmer and let simmer for at least 10 minutes, stirring occasionally.

Wash potatoes, scrubbing well. Peel skins off and cut potatoes into about 1 inch sized chunks.

Fill a large pot with water and about 1 teaspoon salt. Bring to a boil. Add potatoes to water and boil until softened, about 20 minutes.

Drain potatoes. Place potatoes in large bowl and mash with the chicken broth, sour cream, salt, and pepper. Stir until very well combined.

Preheat oven to 400 degrees.

Remove skillet from stove and spread mashes potatoes evenly over topping.

Sprinkle paprika over potatoes, followed by cheddar and parmesan cheeses.

Bake for 25 minutes. Then, turn stove on broil and allow mashed potatoes to brown for about 2 minutes.
"
123,Muddy Buddy Cupcakes,"
Preheat oven to 350 degrees. Line cupcake pan with liners or spray with cooking spray.

In a large bowl or base of a stand mixer, stir together flour, cornstarch, baking soda, salt, and cocoa powder. Once combined, beat in sugar, egg, oil, vanilla, water, and buttermilk until well combined, about 2 minutes.

Fill cups 2/3 of the way full with batter. Bake for 16-18 minutes, or until toothpick inserted into one of the center cupcakes comes out with just a few crumbs. Let cool completely before frosting.

In a small, microwave safe bowl, mix together chocolate chips, peanut butter, and butter. Heat in microwave in 30 second increments, stirring well after each increment, until smooth.

Pour mixture over Chex cereal and stir until all of cereal is covered with mixture. Then, place mixture in a sealable bag or container with cover. Pour powdered sugar over cereal, cover container or seal bag, and shake until all of cereal is covered. 

Use a cupcake corer or spoon to remove center of cupcakes. Fill hole with filling mixture.

Beat together butter, shortening and peanut butter until light and creamy, about 3 minutes.  Then mix in salt until well combined.

Next beat in powdered sugar about 1/2 cup at a time, stirring down sides as needed.

Add milk 1 tbsp at a time until desired consistency reached.

Use a pastry bag and tip to decorate top of cupcakes with frosting (I used a Wilton 2D tip).

Dust tops of cupcake with powdered sugar (I use a sifter for this).

In a microwave safe bowl, heat chocolate and oil in microwave in 30 second increments. Stir well after each increment until smooth. Use a spoon or squeeze bottle to drizzle over tops of cupcakes.
"
124,Instant Pot Yogurt,"
Pour 50 ounces of the milk into instant pot bowl. Then, stir in sweetened condensed milk.

Place remaining 2 ounces of milk into a small bowl, and whisk in plain greek yogurt until well combined. Once combined whisk into milk mixture in pot.

Turn Instant Pot to yogurt setting, which should set to 8 hours, and cover with lid. 

When finished cooking, transfer to a glass or plastic container with lid. Store in refrigerator. NOTE: You may save 2 tbsp of this yogurt to use as the starter in next batch.
"
125,Ground Turkey Pot Stickers,"
Heat 1 tbsp oil in large skillet over medium-high heat. Add ginger and garlic. Cook for about 30 seconds.

Add onion and shredded carrots. Cook until vegetables start to soften, about 3 minutes.

Add roasted ground turkey, red peppers, Chinese 5 spice, red pepper flakes, salt, and soy sauce. Stir constantly until turkey is cooked through, about 4-5 minutes.

Transfer ingredients to a large blender. Pulse several times, until ingredients are well mixed, and some clumps remain.

Cut egg roll wrappers into 4 squares. Place about 1 tbsp of turkey mixture into center of wrapper.

Use water to wet outside of wrapper and press edges together so that it makes a triangle shaped pot sticker. Place each triangle in a single layer on a baking sheet.

Heat another tbsp of oil over medium-high heat in large skillet. Place potstickers in skillet and cook for about 1 minute per side, or until lightly browned. Remove and place aside. Add more potstickers, and oil as needed, until all are cooked.

Serve with soy sauce or teriyaki sauce. I prefer teriyaki sauce. 
"
126,Quinoa Turkey Enchilada Stuffed Peppers,"
Preheat oven to 375 degrees.

Cook quinoa according to package directions and set aside.

In a large pot over medium-high heat, heat olive oil.

Add garlic and saute for about 30 seconds.

Add onion, corn, and jalapeno. Cook, stirring frequently, until onion is soft.

Add turkey, cumin, and 2 teaspoons of chili powder. Cook, stirring frequently, until turkey is cooked through.

Add black beans, enchilada sauce, diced tomatoes, lime juice, and cilantro. Mix well. Simmer, uncovered and stirring occasionally, for 15 minutes.

Stir cooked quinoa and 2 additional teaspoons of chili powder into turkey mixture. Remove from heat.

Cut peppers in half vertically. Use a pairing knife to carefully remove stem and core.

Place peppers, skin side down, in a large 9x13 baking dish (you will like need two 9x13 dishes).

Divide turkey quinoa mixture among peppers. Pour 1/2 cup water into bottom of each baking dish and cover dish(es) with aluminum foil.

Bake for 40-45 minutes, or until peppers are softened. Remove foil and top with cheese. Return to oven and bake for another 3-5 minutes, or until cheese is melted and bubbly.
"
127,Emily’s Baked Ziti,"
In a large pot on stove over medium heat, stir together tomato sauce, tomato paste, diced tomatoes, garlic powder, salt, pepper, oregano, and sugar.

Bring to a simmer, reduce heat to low, cover, and allow to simmer for at least 30 minutes.

In a large skillet, brown beef with salt and pepper to taste. Once cooked through, remove from heat and drain fat.

Add beef to sauce and allow to simmer for another 20-30 minutes.

Cook ziti according to package instructions.

Preheat oven to 350 degrees.

Remove 2 cups of beef sauce from pot and set aside.

In pot with sauce, stir in ziti, 6 ounces of mozzarella cheese and 6 ounces of Italian cheese.

Place mixture in 9x13 baking dish.

Use remaining sauce to cover top of mixture and top with remaining cheeses.

Cover with aluminum foil and bake for 30 minutes. Remove foil and bake for an additional 5 minutes.
"
128,Chocolate Covered Cherry Cake,"
Preheat over to 350 degrees. Line 3, 8"" pans with parchment paper. Flour & butter sides of pans (I use baking Pam to do this).

Whisk together first six ingredients in mixing bowl. Then add following 7 ingredients and beat on medium speed until all ingredients well combined, about 2 minutes. The batter is thin.

Divide batter evenly among the three prepared pans.

Bake until toothpick comes out of center of cake with just a few crumbs, about 25 minutes.

Chop cherries very finely with a knife or pulsing in a food processor a few times.

In a small sauce pan over medium low heat, add cherries, sugar and water. Stir constantly until sugar is dissolved and mixture begins to bubble. Remove from heat and set aside.

Place cherry mixture and chocolate in a heat safe bowl.

Put heave whipping cream in a microwave safe bowl and heat until boiling, about 60 seconds.

Pour whipping cream over chocolate mixture and cover with plastic wrap. Let sit for 5 minutes.

Remove plastic wrap and whisk until chocolate is completely melted. Let sit for at least 5 minutes before using to assemble cake.

In a large bowl or stand mixer, beat together butter and shortening until light in color.

Add in salt and vanilla and mix until well combined.

Alternate mixing in cherries powdered sugar, scraping down sides as needed, until well combined. Once combined, turn mixer on high for about 30-60 seconds.

Level cakes. Use frosting to piper a border on outside of two cake layers. Fill inside of each border with half of cherry ganache.

Stack the two filled cake layers, and finish with the unfrosted layer (I always put the top layer on upside down so that the top of the cake will be smooth).

Use the cherry buttercream to frost outside of the cake. Save about 2/3 cup for decorating top of cake.

To make ganache, place chocolate chips and corn syrup in a heat safe bowl. Put heavy cream in a microwave safe dish and heat until boiling, about 60 seconds.

Pour cream over chocolate chips. Cover with plastic wrap and let sit for 5 minutes.

Remove plastic and whisk until smooth.

Dip about 8 cherries into ganache and set on parchment paper.

Pour remaining ganache into squeeze bottle and use to drop down sides of cake. Fill top of cake with remaining ganache and smooth with offset spatula.

Use pasty bag to pipe cherry buttercream into 8 circles on top of cake. Top each buttercream circle with a chocolate covered cherry.
"
129,Wasabi Teriyaki Chicken and Rice (Instant Pot or Stove Top),"
In Instant Pot on saute mode, or in large pot on stove over medium high heat, stir together apple cider vinegar, sherry, soy sauce, honey, and wasabi. Let mixture come to a boil, stirring frequently.

Boil for 1 minute, the remove from heat. Set sauce aside.

Wipe down or wash out pot for next steps.

Salt and pepper to taste.

Heat 1 tbsp oil in Instant Pot on saute mode, or in large pot on stove over medium high heat.

Add chicken and cooked until mostly cooked, about 4 minutes.

Add 1/2 cup of prepared wasabi teriyaki sauce. Let chicken simmer in sauce until cooked through.

Remove chicken and sauce from pot and set aside.

Add an additional tbsp of oil. Once shimmering, add garlic and ginger. Cook for about 30 seconds.

Add red pepper, carrots, and boy choy. Saute until vegetables are softened, about 3 minutes.

Stir in chicken with it's juices, remainder of wasabi teriyaki sauce, and rice.

If cooking in Instant Pot, stir in 1 cup of water. If cooking on stove top, stir in two cups of water. Make sure that all ingredients are well combined.

If cooking in Instant Pot, cover, turn manual mode with high pressure for 5 minutes. Once cooking has finished, let natural release for 10 minutes.

If cooking on stove top, bring liquid to a boil. Once boiling, turn heat to low and cover pot. Simmer liquid is absorbed by rice, about 10-12 minutes.
"
