,Name of Dish,Instruction
264,White Chocolate Raspberry Cheesecake,"In a medium bowl, mix together cookie crumbs, 3 tablespoons sugar, and melted butter. Press mixture into the bottom of a 9 inch springform pan.
                            In a saucepan, combine raspberries, 2 tablespoons sugar, cornstarch, and water. Bring to boil, and continue boiling 5 minutes, or until sauce is thick. Strain sauce through a mesh strainer to remove seeds.
                            Preheat oven to 325 degrees F (165 degrees C). In a metal bowl over a pan of simmering water, melt white chocolate chips with half-and-half, stirring occasionally until smooth.
                            In a large bowl, mix together cream cheese and 1/2 cup sugar until smooth. Beat in eggs one at a time. Blend in vanilla and melted white chocolate. Pour half of batter over crust. Spoon 3 tablespoons raspberry sauce over batter. Pour remaining cheesecake batter into pan, and again spoon 3 tablespoons raspberry sauce over the top. Swirl batter with the tip of a knife to create a marbled effect.
                            Bake for 55 to 60 minutes, or until filling is set. Cool, cover with plastic wrap, and refrigerate for 8 hours before removing from pan. Serve with remaining raspberry sauce.
                            "
265,Old Fashioned Potato Salad,"Bring a large pot of salted water to a boil.  Add potatoes and cook until tender but still firm, about 15 minutes. Drain, cool, peel and chop.
                            Place eggs in a saucepan and cover with cold water. Bring water to a boil; cover, remove from heat, and let eggs stand in hot water for 10 to 12 minutes. Remove from hot water, cool, peel and chop.
                            In a large bowl, combine the potatoes, eggs, celery, onion, relish, garlic salt, celery salt, mustard, pepper and mayonnaise. Mix together well and refrigerate until chilled.
                            "
266,Momma's Shrimp and Cheese Grits,"Bring water to a boil in a saucepan; stir grits and salt into the boiling water, cover, and reduce heat to low. Simmer grits until tender, 15 to 20 minutes. Remove from heat and keep warm.
                            Melt 1/4 cup butter in a pan over medium heat; cook and stir garlic until softened, about 2 minutes. Stir in green onions, cooking until green onions are wilted, another 4 minutes.
                            Mix shrimp into the garlic and green onions and cook until shrimp are firm and pink, about 5 minutes. Stir in lemon juice, cayenne pepper, salt, and black pepper.
                            Just before serving, mix 1/4 cup butter into the cooked grits, followed by processed cheese. Mix thoroughly until creamy and cheese is melted. Season with salt and black pepper.
                            Place grits in a bowl, top with the shrimp, and pour pan sauce over shrimp and grits to serve.
                            "
267,Roasted Vegetables,"Preheat oven to 475 degrees F (245 degrees C).
                            In a large bowl, combine the squash, red bell peppers, sweet potato, and Yukon Gold potatoes. Separate the red onion quarters into pieces, and add them to the mixture.
                            In a small bowl, stir together thyme, rosemary, olive oil, vinegar, salt, and pepper. Toss with vegetables until they are coated. Spread evenly on a large roasting pan.
                            Roast for 35 to 40 minutes in the preheated oven, stirring every 10 minutes, or until vegetables are cooked through and browned.
                            "
268,Good Old Fashioned Pancakes,"In a large bowl, sift together the flour, baking powder, salt and sugar. Make a well in the center and pour in the milk, egg and melted butter; mix until smooth.
                            Heat a lightly oiled griddle or frying pan over medium high heat. Pour or scoop the batter onto the griddle, using approximately 1/4 cup for each pancake. Brown on both sides and serve hot.
                            "
269,Annie's Fruit Salsa and Cinnamon Chips,"In a large bowl, thoroughly mix kiwis, Golden Delicious apples, raspberries, strawberries, white sugar, brown sugar and fruit preserves. Cover and chill in the refrigerator at least 15 minutes.
                            Preheat oven to 350 degrees F (175 degrees C).
                            Coat one side of each flour tortilla with butter flavored cooking spray. Cut into wedges and arrange in a single layer on a large baking sheet. Sprinkle wedges with desired amount of cinnamon sugar. Spray again with cooking spray.
                            Bake in the preheated oven 8 to 10 minutes. Repeat with any remaining tortilla wedges. Allow to cool approximately 15 minutes. Serve with chilled fruit mixture.
                            "
270,French Toast I,"Beat together egg, milk, salt, desired spices and vanilla.
                            Heat a lightly oiled griddle or skillet over medium-high heat.
                            Dunk each slice of bread in egg mixture, soaking both sides.  Place in pan, and cook on both sides until golden.  Serve hot.
                            "
271,Nan's Potato and Egg Frittata,"Heat oil in a large skillet or frying pan over medium-high heat. Spread potato slices across bottom of the pan and cook, turning once, until golden on both sides. Remove slices from pan and drain.
                            When all potato slices have been cooked, return them to the pan. Turn heat to high. Pour on the beaten eggs and season with salt and pepper. Tilt the pan so that the eggs flow to the bottom of the pan. Turn heat to medium low. Cover pan with a plate and flip pan so that frittata is turned out onto plate. Slide the frittata back into the pan with the uncooked side down. Cover and let cook another 2 minutes.
                            When frittata is finished cooking, remove it from the pan and drain briefly on paper towels before serving.
                            "
272,"Beef, Green Chili and Tomato Stew","In a Dutch oven, heat oil over medium heat until hot, but not smoking. Pat the meat dry with paper towels and brown in batches, transferring the meat with a slotted spoon to a bowl as they are done.
                            In the fat remaining in the pot, cook the onions until softened, about 5 minutes. Stir in the garlic and cook for 1 more minute.
                            Return meat to the pot with any juices in the bowl and add the tomatoes with juice, chiles, beer, beef broth, oregano, cumin, and Worcestershire sauce. Season with salt and pepper to taste.
                            Bring to a boil and reduce heat. Simmer, partially covered, for 2 1/2 hours or until meat is tender.
                            "
273,Taco Salad I,"In a large skillet over medium-high heat, brown the ground beef and drain excess fat. Stir in the taco seasoning, chili beans and French-style dressing. Fill the dressing bottle 2/3 full of water and add to the skillet. Bring to a boil, reduce heat and simmer for 15 minutes.
                            Crush the bag of chips, open the bag, and toss the broken chips into a large bowl with the lettuce, cheese and tomatoes. When the meat mixture is done, combine it with the lettuce, tomatoes, chips and mix well. Then, add salsa and sour cream.
                            "
274,Spicy Garlic Lime Chicken,"In a small bowl, mix together salt, black pepper, cayenne, paprika, 1/4 teaspoon garlic powder, onion powder, thyme and parsley. Sprinkle spice mixture generously on both sides of chicken breasts.
                                    Watch Now
Heat butter and olive oil in a large heavy skillet over medium heat. Saute chicken until golden brown, about 6 minutes on each side. Sprinkle with 2 teaspoons garlic powder and lime juice. Cook 5 minutes more, stirring frequently to coat evenly with sauce.
                                    Watch Now
"
275,"Creamy, Cheesy Zucchini Soup","Put zucchini in large Dutch oven with a few inches of water. Simmer zucchini over medium-low heat until tender when poked with a fork, about 20 minutes. Use a slotted spoon to transfer zucchini to a blender, leaving about 1 inch of water in the bottom of the pot.
                            Blend zucchini until no large chunks remain; return to the pot. Combine bell pepper, red onions, and cilantro in the blender; blend until no large pieces remain. Stir bell pepper mixture into the blended zucchini; add cream, Swiss cheese, salt, and pepper. Cook over medium-low heat until warmed through and the cheese is melted, 5 to 7 minutes.
                            "
276,Grilled Garlic Parmesan Zucchini,"Preheat an outdoor grill for medium-high heat, and lightly oil the grate.
                            Cut the zucchini in half crosswise, then slice each half into 3 slices lengthwise, making 6 slices per zucchini.
                            Mix the butter, garlic, and parsley in a bowl, and spread the mixture on both sides of each zucchini slice. Sprinkle one side of each slice with Parmesan cheese, and place the slices, cheese sides up, crosswise on the preheated grill to keep them from falling through.
                            Grill the zucchini until the cheese has melted and the slices are cooked through and show grill marks, about 8 minutes.
                            "
277,Quick Brussels and Bacon,"Cook the bacon in a large skillet over medium-high heat until crisp; drain on paper towels and crumble.
                            Heat the olive oil in a large skillet over medium-high heat. Cook and stir the onion in the oil until soft; stir in the bacon and cook until bacon is heated through. Add the Brussels sprouts; cook and stir until the sprouts are browned, 7 to 10 minutes.
                            "
278,One Skillet Mexican Quinoa,"Heat oil in a large skillet over medium-high heat. Saute jalapeno pepper and garlic in hot oil until fragrant, about 1 minute.
                            Stir black beans, tomatoes, yellow corn, quinoa, and chicken broth into skillet; season with red pepper flakes, chili powder, cumin, salt, and black pepper. Bring to a boil, cover the skillet with a lid, reduce heat to low, and simmer until quinoa is tender and liquid is mostly absorbed, about 20 minutes. Stir avocado, lime juice, and cilantro into quinoa until combined.
                            "
279,Lamb Chops with Balsamic Reduction,"In a small bowl or cup, mix together the rosemary, basil, thyme, salt and pepper. Rub this mixture onto the lamb chops on both sides. Place them on a plate, cover and set aside for 15 minutes to absorb the flavors.
                            Heat olive oil in a large skillet over medium-high heat. Place lamb chops in the skillet, and cook for about 3 1/2 minutes per side for medium rare, or continue to cook to your desired doneness. Remove from the skillet, and keep warm on a serving platter.
                            Add shallots to the skillet, and cook for a few minutes, just until browned. Stir in vinegar, scraping any bits of lamb from the bottom of the skillet, then stir in the chicken broth. Continue to cook and stir over medium-high heat for about 5 minutes, until the sauce has reduced by half. If you don't, the sauce will be runny and not good. Remove from heat, and stir in the butter. Pour over the lamb chops, and serve.
                            "
280,Chef John's Steak Diane,"Season steaks generously on both sides with salt. Allow steaks to come to room temperature while you make the sauce.
                            Stir together demi-glace (see Cook's Note), mustard, Worcestershire sauce, tomato paste, and cayenne pepper in a bowl.
                            Heat oil in a skillet over very high heat, swirling carefully to evenly cover surface. When oil reaches a smoking point, transfer steaks to oil; add a few chunks of butter. Sear meat on high heat until brown on each side, 2 to 3 minutes per side; keep them on the rare side. An instant-read thermometer inserted into the center should read 125 degrees F (52 degrees C). Transfer steaks to a warm plate.
                            Stir shallots into skillet; cook until softened, 2 to 3 minutes. Remove skillet from heat; pour in Cognac. Carefully ignite with a fireplace lighter. When alcohol burns off and flames go out, return skillet to high heat and bring to a boil; cook, stirring, a few minutes to reduce slightly. Add demi-glace mixture, cream, and any accumulated juices from the steak. Cook on high heat just until sauce starts to thicken, 3 to 5 minutes. Transfer steaks back to pan and reduce heat to low. Gently simmer until meat is heated through and cooked to your desired level of doneness.
                            Transfer to hot plates and serve with a generous spoonful or two of sauce. Sprinkle with chives.
                            "
281,Baked Asparagus with Balsamic Butter Sauce,"Preheat oven to 400 degrees F (200 degrees C).
                            Arrange the asparagus on a baking sheet. Coat with cooking spray, and season with salt and pepper.
                            Bake asparagus 12 minutes in the preheated oven, or until tender.
                            Melt the butter in a saucepan over medium heat. Remove from heat, and stir in soy sauce and balsamic vinegar. Pour over the baked asparagus to serve.
                            "
282,Oat Crusted Fish,"Warm oil in a large skillet over medium-high heat.
                            In a bowl, whisk together egg and milk. Coat cod fillets with flour; shake off excess. Dip cod in egg mixture; allow excess to drip off. Coat cod with oats.
                            Place fish one at a time in hot oil; fry about 2 1/2 minutes, then turn over, and fry about 2 1/2 minutes more. Remove to paper towels. Season to taste with salt and pepper.
                            "
283,Old Fashioned Onion Rings,"Heat the oil in a deep-fryer to 365 degrees F (185 degrees C).
                            Separate the onion slices into rings, and set aside. In a small bowl, stir together the flour, baking powder and salt.
                            Dip the onion slices into the flour mixture until they are all coated; set aside. Whisk the egg and milk into the flour mixture using a fork. Dip the floured rings into the batter to coat, then place on a wire rack to drain until the batter stops dripping. The wire rack may be placed over a sheet of aluminum foil for easier clean up. Spread the bread crumbs out on a plate or shallow dish. Place rings one at a time into the crumbs, and scoop the crumbs up over the ring to coat. Give it a hard tap as you remove it from the crumbs. The coating should cling very well. Repeat with remaining rings.
                            Deep fry the rings a few at a time for 2 to 3 minutes, or until golden brown. Remove to paper towels to drain. Season with seasoning salt, and serve.
                            "
284,Irresistible Double Chocolate Muffins,"Preheat an oven to 400 degrees F (200 degrees C). Grease 12 muffin cups, or line with paper muffin liners.
                            Combine flour, flax seed, wheat germ, baking soda, baking powder, cocoa powder, cinnamon, and chocolate chips in a large bowl. In another bowl, beat the buttermilk, pumpkin puree, brown sugar, egg, and vanilla until smooth. Gently stir the wet ingredients into the dry, mixing just until combined. Spoon equal amounts of batter into muffin cups.
                            Bake until a toothpick inserted in the center of a muffin comes out clean, about 20 to 30 minutes.
                            "
285,Smoked Salmon and Egg Salad,"Place eggs in a saucepan and cover with cold water. Bring water to a boil; cover, remove from heat, and let eggs stand in hot water for 10 to 12 minutes. Remove from hot water, cool, peel and chop.
                            In a medium bowl, combine eggs, celery, onion, smoked salmon and mayonnaise. Season with dill, salt and pepper. Refrigerate at least 2 hours to allow flavors to combine.
                            "
286,Slow Cooker Vegetarian Minestrone,"Combine vegetable broth, tomatoes, kidney beans, onion, celery, carrots, green beans, zucchini, garlic, parsley, oregano, salt, thyme, and black pepper in a 6-quart slow cooker.
                            Cook on Low for 6 to 8 hours.
                            Bring a large pot of lightly salted water to a boil. Cook elbow macaroni in the boiling water, stirring occasionally until cooked through but firm to the bite, 8 minutes; drain.
                            Stir spinach and macaroni into minestrone; cook another 15 minutes. Top with Parmesan cheese.
                            "
287,Zucchini Soup III,"In a large pot over medium high heat, saute the sausage for about 8 minutes, or until browned. Drain excess fat. Add the celery and continue to cook for about 10 minutes, stirring occasionally.
                            Add the zucchini, onions, tomatoes, oregano, Italian-style seasoning, sugar, and the garlic powder. Reduce heat to medium low. Cover and simmer for 30 minutes.
                            Remove cover and add the bell peppers. Continue to simmer for about 10 minutes. Serve and enjoy.
                            "
288,Lemon-Parsley Green Beans,"Bring a large pot of salted water to a boil over high heat: add sugar, and beans. Cook until beans are bright green and tender, 3 to 5 minutes. Drain, and place in a large bowl of ice water to stop cooking.
                            Combine the butter and olive oil in a large skillet over medium-high heat; cook until butter melts. Stir in the garlic; cook until pale beige and fragrant. Stir in the beans; cook until wilted, and garlic is dark brown, about 4 minutes. Toss beans with parsley and lemon zest, and cook 1 to 2 minutes more. Season to taste with salt and pepper. Transfer beans to a serving dish, and garnish with lemon wedges.
                            "
289,Sweet Restaurant Slaw,"Combine the coleslaw mix and onion in a large bowl.
                            Whisk together the salad dressing, vegetable oil, sugar, vinegar, salt, and poppy seeds in a medium bowl; blend thoroughly. Pour dressing mixture over coleslaw mix and toss to coat. Chill at least 2 hours before serving.
                            "
290,Andrea's Pasta Fagioli,"In a large pot over medium heat, cook onion in olive oil until translucent.  Stir in garlic and cook until tender.  Reduce heat, and stir in tomato sauce, water, parsley, basil, oregano, salt, cannelini beans, navy beans and Parmesan.  Simmer 1 hour.
                            Bring a large pot of lightly salted water to a boil. Add pasta and cook for 8 to 10 minutes or until al dente; drain.  Stir into soup.
                            "
291,Oven Roasted Potatoes,"Preheat oven to 475 degrees F (245 degrees C).
                            In a large bowl, combine oil, garlic, basil, marjoram, dill weed, thyme, oregano, parsley, red pepper flakes, and salt. Stir in potatoes until evenly coated. Place potatoes in a single layer on a roasting pan or baking sheet.
                            Roast for 20 to 30 minutes in the preheated oven, turning occasionally to brown on all sides.
                            "
292,Insalata Caprese II,"On a large platter, alternate and overlap the tomato slices, mozzarella cheese slices, and basil leaves. Drizzle with olive oil. Season with sea salt and pepper.
                            "
293,Quick Pumpkin Oatmeal,"Mix milk, oats, pumpkin puree, cinnamon, salt, ginger, allspice, and nutmeg together in a 4-quart microwave-safe bowl.
                            Cook on High for 12 to 15 minutes, stirring once. Sprinkle brown sugar and pecan pieces over the oatmeal to serve.
                            "
294,Chocolate Protein Muffins,"Preheat the oven to 400 degrees F (200 degrees C). Line 9 muffin wells with cupcake liners or spray with nonstick spray.
                            Whisk powder drink mix, flour, baking soda, baking powder, and salt together in a medium bowl.
                            Whisk applesauce, yogurt, sugar, egg, and vanilla extract in a separate large bowl. Add the flour mixture; mix until just combined. Fold in chocolate chips.
                            Bake in the preheated oven for 7 minutes. Reduce heat to 350 degrees F (175 degrees C) and bake until muffins spring back when touched, an additional 10 to 12 minutes.
                            "
295,Chef John's Ham and Potato Soup,"Melt butter in a stockpot over medium heat until golden brown. Stir in carrot, celery, onion, ham, and garlic; cook and stir for 5-6 minutes, until the vegetables soften and the onions are translucent.
                            Stir in flour; cook for about 3 minutes. Stir in chicken broth, 1 cup at a time. Add water and stir to combine. Turn the heat to high and bring to a simmer. Simmer on medium-low for 15 minutes, stirring occasionally.
                            Taste the soup for salt and add more if necessary. Stir in potatoes; cook for 15 minutes, until potatoes are tender. Skim fat if desired.
                            With a potato masher, mash the soup a few times, leaving plenty of whole chunks of potato. Season with salt and pepper to taste, add cayenne if desired, and add cream. Stir to combine and heat through. Garnish with fresh chives.
                            "
296,Crabmeat Quiche,"Preheat oven to 375  degrees F (190 degrees C).
                            Heat butter in a large skillet over medium heat. Saute green onion and red bell pepper until soft. Stir in crabmeat, and season with salt and pepper. Add wine, and cook for 1 minute. Remove from heat, and allow to cool.
                            In a large bowl, beat eggs until light. Whisk in half-and-half, and crab mixture. Pour into pie crust, and sprinkle with Swiss cheese.
                            Bake in preheated oven for 25 to 30 minutes, or until puffed and golden brown.
                            "
297,Cauliflower Soup,"In a large saucepan over medium heat, saute the celery, onion and carrot in olive oil for 5 minutes, or until onion is translucent. Remove from heat and set aside.
                            Steam cauliflower in a colander over boiling water or in a steamer until tender.  Mash.
                            Add the mashed cauliflower to the vegetable mixture, return to stovetop over medium heat and add the chicken broth. Pepper to taste and simmer for 15 minutes or until soup is heated thoroughly.
                            "
298,"Herb, Sausage, and Cheese Dutch Baby","Preheat oven to 425 degrees F (220 degrees C). Place a 12-inch cast iron skillet into the oven while it preheats.
                            Heat a large skillet over medium-high heat. Cook and stir sausage in the hot skillet until browned and crumbly, 5 to 7 minutes; drain and discard grease.
                            Combine eggs, milk, flour, 1 tablespoon butter, salt, and pepper in a blender; blend until batter is smooth and thin, about 2 minutes.
                            Carefully remove cast iron skillet from oven using an oven mitt and pour remaining 1 tablespoon butter into the skillet, quickly and carefully swirling to coat the skillet with butter. Pour batter into the skillet and transfer to the oven.
                            Bake in the oven until puffed around the edges and cooked through, 18 to 20 minutes.
                            Top Dutch baby with Cheddar cheese, chives, fresh thyme, and crumbled sausage. Return to the oven and bake until cheese is melted, about 1 minute. Slice and serve Dutch baby immediately.
                            "
299,Spinach and Potato Frittata,"Heat olive oil in a medium skillet over medium heat. Place potatoes in the skillet, cover, and cook about 10 minutes, until tender but firm. Mix in spinach, green onions, and garlic. Season with salt and pepper. Continue cooking 1 to 2 minutes, until spinach is wilted.
                            In a medium bowl, beat together eggs and milk. Pour into the skillet over the vegetables. Sprinkle with Cheddar cheese. Reduce heat to low, cover, and cook 5 to 7 minutes, or until eggs are firm.
                            "
300,Easy Zucchini Soup,"Melt butter in a pot over medium heat. Add zucchini, chicken broth, salt, and curry powder to the pot; cook until the zucchini is soft, about 15 minutes.
                            Pour soup into a blender no more than half full. Cover and hold lid in place; pulse a few times before leaving on to blend. Puree in batches until smooth.
                            "
301,Picante Chicken Chili,"Heat oil in a pot over medium-high heat. Saute onion and garlic until onion is translucent, about 5 minutes. Add chicken; cook and stir until mostly opaque, about 5 minutes. Add picante sauce, wine, cumin, sage, and bay leaf. Stir in black beans and pinto beans. Add tomatoes and chiles; simmer until flavors meld, about 10 minutes.
                            "
302,Smoked Salmon Pizette,"Preheat oven to 350 degrees F (175 degrees C).
                            Stir together cream cheese, sour cream and green onions. Spread mixture evenly on top of whole pita rounds. Place rounds on lightly greased baking sheets and bake in preheated oven for 7 to 8 minutes.
                            Transfer warm pitas to a serving platter, sprinkle with salmon and garnish with diced tomatoes and capers.
                            "
303,The Best Bean and Ham Soup,"Place the soaked beans into a large pot and fill with enough water to cover by about 1 inch. Bring to a boil, then simmer over low for 30 minutes. Drain. Add the ham bone, ham, onion, celery, carrots, tomatoes, vegetable juice, and vegetable broth. Season with Worcestershire sauce, Dijon mustard, chili powder, bay leaves, pepper, parsley and lemon juice. Pour in enough of the chicken broth to cover the ingredients.
                            Simmer over low heat, stirring occasionally, for about 8 hours. Add more chicken broth as needed throughout the day. Remove the ham bone and season with salt if needed. Continue to simmer for a couple more hours. Remove bay leaves before serving.
                            "
304,Drop Dead Delicious Tuna Salad,"In a mixing bowl, combine the tuna, lemon juice, mayonnaise, celery and pickle relish. Mix together well and refrigerate until ready to serve.
                            "
305,Authentic Chicken Tikka Masala,"Combine yogurt, 2 teaspoons garam masala, paprika, black pepper, 1/2 teaspoon salt, cayenne pepper, and 1/2 teaspoon coriander in a large bowl. Add chicken strips and toss to coat. Cover and marinate in the refrigerator for 2 hours.
                            Preheat oven to 450 degrees F (230 degrees C). Grease a baking sheet.
                            Place chicken strips on the prepared baking sheet, leaving space between each piece, and bake in the preheated oven until browned and no longer pink inside, about 10 minutes. Remove and set aside.
                            Heat vegetable oil in a large skillet over medium heat. Cook and stir cumin seeds until lightly toasted and aromatic, about 3 minutes. Add onion; cook and stir until onion begins to soften, 4 to 5 minutes. Stir in garlic, ginger, and green chiles and continue to cook until onion is browned, 15 to 20 minutes. Cook and stir tomatoes, tomato paste, and water into onion mixture until tomatoes begin to break down and incorporate into the onion mixture, about 10 minutes.
                            Cook and stir 1 teaspoon garam masala, 1/2 teaspoon coriander, and turmeric into the tomato mixture. Mix in the cooked chicken, add cream, and stir to coat. Cover and let simmer for 10 minutes. Season with 1/2 teaspoon salt and garnish with cilantro.
                            "
306,Bacon and Egg Breakfast Salad with Avocado Dressing,"Combine avocado, lemon juice, Greek yogurt, olive oil, garlic powder, onion powder, cumin, salt, and black pepper in a small food processor. Pulse until mixture is smooth. Add water or milk to thin out dressing to desired consistency. Set aside.
                            Cook bacon in a medium nonstick skillet over medium heat until crispy, about 5 minutes. Drain on a paper towel-lined plate. Allow to cool; crumble into small pieces.
                            Remove all but 1 tablespoon of bacon grease from the skillet. Add eggs; cover and cook until whites are set and yolks are barely set, 3 to 5 minutes. Season with salt and pepper.
                            Divide mixed greens, tomatoes, cucumber slices, and bacon crumbles between 2 plates. Drizzle in desired amount of avocado dressing. Top each salad with an egg. Serve immediately.
                            "
307,Classic Minestrone,"Heat olive oil in a large saucepan, over medium heat. Add leek, carrots, zucchini, green beans and celery. Cover, and reduce heat to low. Cook for 15 minutes, shaking the pan occasionally.
                            Stir in the stock, tomatoes and thyme.  Bring to a boil, then replace the lid, and reduce heat to low; simmer gently for 30 minutes.
                            Stir in the cannellini beans with liquid and pasta. Simmer for an additional 10 minutes, or until pasta is al dente. Season with salt and pepper to taste before serving.
                            "
308,The Best Vegetarian Chili in the World,"Heat the olive oil in a large pot over medium heat. Stir in the onion, and season with bay leaves, cumin, oregano, and salt. Cook and stir until onion is tender, then mix in the celery, green bell peppers, jalapeno peppers, garlic, and green chile peppers. When vegetables are heated through, mix in the vegetarian burger crumbles. Reduce heat to low, cover pot, and simmer 5 minutes.
                            Mix the tomatoes into the pot. Season chili with chili powder and pepper. Stir in the kidney beans, garbanzo beans, and black beans. Bring to a boil, reduce heat to low, and simmer 45 minutes. Stir in the corn, and continue cooking 5 minutes before serving.
                            "
309,Tim Perry's Soup (Creamy Curry Cauliflower and Broccoli Soup),"In a stockpot, combine chicken broth, onion, cauliflower, and broccoli.  Bring to a boil and reduce heat to low.  Continue to simmer until vegetables are tender.  Season with curry powder, chicken bouillon, salt, and pepper.
                            In a bowl, combine flour and 1/2 cup of the milk.  Whisk briskly until there are no lumps.  Add mixture to soup, stirring continuously as soup thickens.  Stir in Cheddar cheese until completely melted.
                            "
310,Zucchini Tomato Soup I,"In a large stock pot combine tomatoes, water, soup mix, onion, green bell pepper and zucchini.  Season with oregano, garlic powder and salt.  Bring to a boil.
                            Using a saute pan brown ground beef and then add to stock pot.  Add macaroni and cook until noodles and zucchini are tender, approximately 10 to 15 minutes.
                            "
311,Quick and Easy Eggs Benedict,"In a skillet over medium-high heat, fry the Canadian bacon on each side until evenly browned.
                            Fill a large saucepan with about 3 inches water, and bring to a simmer. Pour in the vinegar. Carefully break the 4 eggs into the water, and cook 2 to 3 minutes, until whites are set but yolks are still soft. Remove eggs with a slotted spoon.
                            Meanwhile, melt the butter until bubbly in a small pan or in the microwave. Remove from heat before butter browns.
                            In a blender or large food processor, blend the egg yolks, heavy cream, cayenne pepper, and salt until smooth. Add half of the hot butter in a thin steady stream, slow enough so that it blends in at least as fast as you are pouring it in. Blend in the lemon juice using the same method, then the remaining butter.
                            Place open English muffins onto serving plates. Top with 1 slice Canadian bacon and 1 poached egg. Drizzle with the cream sauce, and serve at once.
                            "
312,Garlic Red Potatoes,"Preheat oven to 350 degrees F (175 degrees C).
                                    Watch Now
Place potatoes in an 8x8 inch baking dish.
                                    Watch Now
In a small bowl combine melted butter, garlic, salt and lemon juice; pour over potatoes and stir to coat.  Sprinkle Parmesan cheese over potatoes.
                                    Watch Now
Bake, covered, in preheated oven for 30 minutes.  Uncover and bake until golden brown and tender when pierced with a fork, about 10 minutes more.
                                    Watch Now
"
313,Scrambled Egg Muffins,"Preheat oven to 350 degrees F (175 degrees C). Lightly grease 12 muffin cups, or line with paper muffin liners.
                            Heat a large skillet over medium-high heat and stir in sausage; cook and stir until sausage is crumbly, evenly browned, and no longer pink, 10 to 15 minutes; drain.
                            Beat eggs in a large bowl. Stir in onion, green pepper, salt, pepper, and garlic powder. Mix in sausage and Cheddar cheese. Spoon by 1/3 cupfuls into muffin cups.
                            Bake in preheated oven until a knife inserted near the center comes out clean, 20 to 25 minutes.
                            "
314,Simple Garlic Shrimp,"Heat olive oil in a heavy skillet over high heat until it just begins to smoke. Place shrimp in an even layer on the bottom of the pan and cook for 1 minute without stirring.
                            Season shrimp with salt; cook and stir until shrimp begin to turn pink, about 1 minute.
                            Stir in garlic and red pepper flakes; cook and stir 1 minute. Stir in lemon juice, caper brine, 1 1/2 teaspoon cold butter, and half the parsley.
                            Cook until butter has melted, about 1 minute, then turn heat to low and stir in 1 1/2 tablespoon cold butter. Cook and stir until all butter has melted to form a thick sauce and shrimp are pink and opaque, about 2 to 3 minutes.
                            Remove shrimp with a slotted spoon and transfer to a bowl; continue to cook butter sauce, adding water 1 teaspoon at a time if too thick, about 2 minutes. Season with salt to taste.
                            Serve shrimp topped with the pan sauce. Garnish with remaining flat-leaf parsley.
                            "
315,Spinach Quiche,"Preheat oven to 375 degrees F (190 degrees C).
                            In a medium skillet, melt butter over medium heat. Saute garlic and onion in butter until lightly browned, about 7 minutes. Stir in spinach, mushrooms, feta and 1/2  cup Cheddar cheese. Season with salt and pepper. Spoon mixture into pie crust.
                            In a medium bowl, whisk together eggs and milk. Season with salt and pepper. Pour into the pastry shell, allowing egg mixture to thoroughly combine with spinach mixture.
                            Bake in preheated oven for 15 minutes. Sprinkle top with remaining Cheddar cheese, and bake an additional 35 to 40 minutes, until set in center. Allow to stand 10 minutes before serving.
                            "
316,Broccoli With Lemon Almond Butter,"Steam or boil broccoli until tender, approximately 4 to 8 minutes. Drain.
                            In a small saucepan, melt butter over medium low heat.  Remove from heat.  Stir in lemon juice. lemon zest, and almonds.  Pour over hot broccoli, and serve.
                            "
317,Vegan Red Lentil Soup,"Heat the oil in a large pot over medium heat, and cook the onion, ginger, garlic, and fenugreek until onion is tender.
                            Mix the lentils, squash, and cilantro into the pot. Stir in the water, coconut milk, and tomato paste. Season with curry powder, cayenne pepper, nutmeg, salt, and pepper. Bring to a boil, reduce heat to low, and simmer 30 minutes, or until lentils and squash are tender.
                            "
318,Spicy Grilled Broccoli,"Whisk together vegetable oil, soy sauce, gochujang, honey, lime juice, soy sauce, and red pepper flakes in a bowl for the sauce.
                            Preheat an outdoor grill for low heat and lightly oil the grate.
                            Place broccoli steaks onto hot grill, cover, and cook for 2 minutes. Flip and cook for another 2 minutes.
                            Flip broccoli steaks again and generously brush on sauce, making sure to coat the stems very well. Cook for 5 to 7 minutes. Flip and brush generously with sauce and cook until stems are still firm, but cooked through, an additional 5 to 7 minutes.
                            "
319,Curried Cauliflower Soup,"Preheat oven to 350 degrees F (175 degrees C). Place the cauliflower, onion, and garlic on a baking sheet, and bake in preheated oven until golden brown, about 30 minutes.
                            Bring vegetable stock, coconut milk, and curry paste to a boil in a large saucepan over high heat. Add the roasted vegetables, then reduce heat to medium-low, cover, and simmer for 15 minutes. Carefully puree the soup in a blender until it has reached your desired consistency, serve, and enjoy!
                            "
320,Simple Cauliflower Soup,"Melt the butter in a large pot over medium heat. Saute the onion in the butter for 5 minutes. Stir in the cauliflower and potato and saute for 5 more minutes.
                            Pour in the stock, bring to a boil, reduce heat to low and simmer for 20 minutes, or until all vegetables are tender. Add the milk, stirring well to blend. Season with salt and pepper to taste.
                            "
321,Roasted Broccoli,"Preheat an oven to 400 degrees F (200 degrees C).
                            Combine the broccoli and bell pepper in a bowl. Sprinkle the steak seasoning, chili powder, garlic powder, salt, and pepper over the vegetables; drizzle with the olive oil and toss to coat. Spread the vegetables into a shallow baking dish.
                            Bake in the preheated oven until the vegetables are tender and beginning to brown, 15 to 20 minutes.
                            "
