ingredient,recipe
cinnamon,"Make-Ahead Sour Cream Coffee Cake;Pecan Sour Cream Coffee Cake;Downeast Maine Pumpkin Bread;Chicken Tikka Masala;Green Tomato Pie III;Sopapilla Cheesecake Pie;Bacon, Egg, and Cheese Breakfast Bombs;Baked Cider Doughnuts;Strawberry Bread;Mom's Zucchini Bread;Fluffy French Toast;Apple-Raisin French Toast Casserole;Blueberry Sour Cream Coffee Cake;Vanilla-Almond Spiced French Toast;Chef John's Sweet Potato Muffins;Churros;Banana Sour Cream Bread;Apple Puff Pancake;Blueberry Zucchini Bread;Sour Cream Coffee Cake I;Classic Cinnamon Rolls;Pumpkin Bread IV;Ninety Minute Cinnamon Rolls;Homemade Apple Cider;Apple Crisp II;Apple Turnovers;Annie's Fruit Salsa and Cinnamon Chips;French Toast I;Irresistible Double Chocolate Muffins;Quick Pumpkin Oatmeal;Apple Cider Glazed Doughnuts;Ashley's Apple Cider Doughnuts;To Die For Blueberry Muffins;Easy Pumpkin Pancakes;Pumpkin Waffles with Apple Cider Syrup;Pumpkin French Toast Bake;Curry Stand Chicken Tikka Masala Sauce;Buttermilk Doughnuts;Butternut and Acorn Squash Soup;Sarah's Applesauce;Maple Bacon Monkey Bread;Monkey Bread I;Honey Roasted Sweet Potatoes;Sour Cream Coffee Cake III;Carrot and Ginger Soup;Sour Cream Blueberry Coffee Cake;Baked French Toast;Banana Crumb Muffins;Cinnamon Rolls III;Mountain Apple Cobbler;Baked Oatmeal Breakfast Bars;Banana Cinnamon Roll Casserole;Ooey-Gooey Cinnamon Buns;Slow Cooker Carnitas;Fresh Southern Peach Cobbler;Sugar Coated Pecans;Baked Apple Roses;Applesauce Pumpkin Spice Bread "
citrus,Mountain Apple Cobbler
clove,Downeast Maine Pumpkin Bread;Green Tomato Pie III;Pumpkin Bread IV;Pumpkin French Toast Bake;Garden Fresh Tomato Soup;Grandma Jeanette's Amazing German Red Cabbage;Hearty Corn and Pumpkin Soup;Applesauce Pumpkin Spice Bread 
cocoa,Brooke's Best Bombshell Brownies;Best Brownies;Irresistible Double Chocolate Muffins
coconut,Thai Red Chicken Curry;Thai Sweet Sticky Rice With Mango (Khao Neeo Mamuang);Thai Chicken Curry in Coconut Milk;Thai Pineapple Chicken Curry;The Best Thai Peanut Sauce;Soft and Chewy Chocolate-Banana Oat Bars;Thai Chicken with Basil Stir Fry;Vegan Red Lentil Soup;Curried Cauliflower Soup;Panang Curry with Chicken;Refined Sugar Free-Mango Sticky Rice;Thai Green Curry Chicken;Tom Ka Gai (Coconut Chicken Soup);Red Curry Coconut Squash Soup;Curried Coconut Chicken;Mango with Sticky Coconut Rice (Kao Niaw);The Best Thai Coconut Soup;Chicken Massaman Curry;Chef John's Chicken Tikka Masala;Roasted Carrot and Cauliflower Curried Soup;Thai Chicken Bites With Dipping Sauce;Old Fashioned Coconut Cream Pie;Thai Chicken Satay
coconut oil,Red Curry Coconut Squash Soup
cod,Baja-Style Fish Tacos;Cape Malay Pickled Fish;Oat Crusted Fish;Perfect Ten Baked Cod;Baked Milk Fish;Crispy Fish
coriander,White Bean Chicken Chili;Cape Malay Pickled Fish;Thai Red Curry Paste;Authentic Chicken Tikka Masala;Sean's Falafel and Cucumber Sauce;Indian Fish Curry;Thai Chicken Balls;Chef John's Chicken Tikka Masala;Slow Cooker Carnitas;Thai Chicken Bites With Dipping Sauce;Thai Chicken Satay
corn,"Thai Red Chicken Curry;Caldo de Res (Mexican Beef Soup);Quick and Easy Vegetable Soup;Perfect Fried Green Tomatoes;Chorizo Breakfast Tacos with Potato Hash and Eggs;Quick Creamed Curried Corn ;Chicken Cordon Bleu II;Spicy Black Bean Vegetable Soup;Chicken Makhani (Indian Butter Chicken);Chef John's Fried Green Tomatoes ;White Bean Chicken Chili;Baja-Style Fish Tacos;Chicken and Artichoke Minestrone;Black Bean Huevos Rancheros;Kentucky Style Fried Green Tomatoes;Overnight Blueberry French Toast;Chicken Fiesta Salad;Authentic Huevos Rancheros;Black Bean and Couscous Salad;Mexican Zucchini Cheese Soup;Southern Fried Green Tomatoes;Mexican Egg Bake;Apple Turnovers;Best Fried Green Tomatoes;White Chocolate Raspberry Cheesecake;One Skillet Mexican Quinoa;The Best Vegetarian Chili in the World;Daddy's Fried Corn and Onions;Strawberry Pie II;Apple Cider Glazed Doughnuts;Mawmaw's Simple Fried Green Tomatoes;Pumpkin Waffles with Apple Cider Syrup;Blueberry Waffles with Fast Blueberry Sauce;Easy Pineapple Chicken;Refined Sugar Free-Mango Sticky Rice;Sarah's Fried Green Tomatoes;Summer Corn Salad;Instant Pot Vegan Vegetable and Barley Soup;Frugal Fried Green Tomatoes;Bacon, Potato, and Egg Taco Ole;Minestrone Soup;Black Bean and Corn Salad II;Grandma's Lemon Meringue Pie;Fried Green Tomatoes with Shrimp Remoulade;Slow Cook Thai Chicken;Chicken and Corn Chili;Quinoa and Black Beans;Creamy Corn Chowder;Baked French Toast;Cream Corn Like No Other;Crab and Swiss Quiche;Insanely Easy Vegetarian Chili;Lactose Free Corn Chowder;Grandma's Slow Cooker Vegetarian Chili;Easy Southern Fried Green Tomatoes;Hearty Corn and Pumpkin Soup;Jamie's Sweet and Easy Corn on the Cob;Vegan Black Bean Soup;Mexican Bean Salad;Broccoli Cheese Soup;Fresh Southern Peach Cobbler;Apple Stuffed Chicken Breast;Six Can Chicken Tortilla Soup"
corn flake,Jill's Hash Brown Casserole
cottage cheese,Creamy Cottage Cheese Scrambled Eggs;Green Chile Frittata;Sausage Casserole;Cheesy Amish Breakfast Casserole;Creamy Zucchini Soup
crab,Crab Brunch Casserole;Savory Bacon and Crab Bread Pudding Eggs Benedict;Seafood Omelets with Creamy Cheese Sauce
cranberry,Apple Orchard Punch;Prosciutto Fave Minestrone alla Riso ;Sicilian Sunset;Chef John's Minestrone Soup
cream,"Make-Ahead Sour Cream Coffee Cake;Pecan Sour Cream Coffee Cake;Low Carb Cauliflower Leek Soup;Chicken Tikka Masala;Hungarian Mushroom Soup;Barb's Fried Green Tomatoes with Zesty Sauce;No Time to Cook Chicken;Cream of Fresh Asparagus Soup II;Chicken Cordon Bleu II;Cheesiest Potato Soup;Hash Brown Casserole II;Baja-Style Fish Tacos;Blueberry Sour Cream Coffee Cake;Easy Mexican Casserole;Banana Sour Cream Bread;All-American Loaded Baked Potato Salad;Fabulous Roasted Cauliflower Soup;Winter Root Soup;Buttermilk Strawberry Shortcake;Quiche Lorraine I;Sour Cream Coffee Cake I;Cream of Cauliflower and Stilton Soup;Russian Green Bean and Potato Soup;Pumpkin Soup;Creamy Summer Squash Soup;Homemade Deviled Ham Sandwiches;Zucchini Soup II;Clark's Quiche;Simple Broccoli Soup with Cheddar Croutons ;White Chocolate Raspberry Cheesecake;Taco Salad I;Creamy, Cheesy Zucchini Soup;Chef John's Steak Diane;Sweet Restaurant Slaw;Chef John's Ham and Potato Soup;Crabmeat Quiche;Smoked Salmon Pizette;Authentic Chicken Tikka Masala;Quick and Easy Eggs Benedict;Best Darn Minestrone Soup Around;Hash Brown and Pork Chop Casserole;Strawberry Pie II;Chocolate Cream Puff Swans;Cheesy Ham and Hash Brown Casserole;Chef John's Quiche Lorraine;Mulligatawny Soup I;Curried Butternut Squash Soup;Three Cheese Breakfast Bake;Creamy Pesto Shrimp;Angela's Awesome Enchiladas;Curry Stand Chicken Tikka Masala Sauce;Shrimp Quiche;Baked Potato Soup I;Curried Cream of Cauliflower Soup;Simple Scones;Spicy Edam Shrimp Quiche;Absolutely Ultimate Potato Soup;Smoked Salmon Frittata;Zucchini Gazpacho with Basil Cream;Sour Cream Coffee Cake III;Carrot and Ginger Soup;Sour Cream Blueberry Coffee Cake;Super-Delicious Zuppa Toscana;Cream of Cauliflower Soup With Bacon Gremolata;Polish Cream Cheese Coffee Cake;Butternut and Apple Harvest Soup;Savory Bacon and Crab Bread Pudding Eggs Benedict;Easy Bacon and Cheese Quiche;Spicy Chipotle Sweet Potato Soup;Baked French Toast;Chef John's Shrimp and Grits ;Roasted Cauliflower and Leek Soup;Quick Tuna Salad;Cream Corn Like No Other;Seafood Omelets with Creamy Cheese Sauce;Lactose Free Corn Chowder;Baked Potato Soup V;Cream of Cauliflower Soup I;Jill's Hash Brown Casserole;Baked Ziti I;Grandma Johnson's Scones;Ultimate Twice Baked Potatoes;Shrimp and Grits Louisiana Style;Chicken Milano"
cream cheese,"Cream Cheese Pound Cake I;Sopapilla Cheesecake Pie;Bacon, Egg, and Cheese Breakfast Bombs;Smoked Salmon Quiche;Overnight Blueberry French Toast;White Chocolate Raspberry Cheesecake;Smoked Salmon Pizette;Gluten Free Fried Green Tomatoes;Garlic Mashed Cauliflower;Cauliflower Potato Soup;Butternut Squash Soup;Butternut and Acorn Squash Soup;Smoked Salmon Frittata;Polish Cream Cheese Coffee Cake;RITZ ""Everything"" Bites with Lox and Schmear;Cinnamon Rolls III;Judy's Strawberry Pretzel Salad"
cucumber,"Lentil Salad with a Persian Twist;Chicken Souvlaki with Tzatziki Sauce;Bacon and Egg Breakfast Salad with Avocado Dressing;Vietnamese Rice Noodle Salad;Sean's Falafel and Cucumber Sauce;Thai Cucumber Salad;Herb 'n Honey Cucumber Tomato Salad;Zucchini Gazpacho with Basil Cream;Greek Salad I;Marinated Cucumber, Onion, and Tomato Salad;RITZ ""Everything"" Bites with Lox and Schmear;Yam Taeng (Spicy Cucumber Salad);Thai Spicy Basil Chicken Fried Rice;Mediterranean Greek Salad;Israeli Tomato and Cucumber Salad"
cumin,"Chicken Tikka Masala;Spicy Black Bean Vegetable Soup;Chicken Makhani (Indian Butter Chicken);White Bean Chicken Chili;Laura's Quick Slow Cooker Turkey Chili;Cape Malay Pickled Fish;Chakchouka (Shakshouka);Black Bean and Couscous Salad;Thai Red Curry Paste;Jerre's Black Bean and Pork Tenderloin Slow Cooker Chili;Refried Beans Without the Refry;Beef, Green Chili and Tomato Stew;One Skillet Mexican Quinoa;Picante Chicken Chili;Authentic Chicken Tikka Masala;Bacon and Egg Breakfast Salad with Avocado Dressing;The Best Vegetarian Chili in the World;Sweet Potato, Carrot, Apple, and Red Lentil Soup;Curried Butternut Squash Soup;Sean's Falafel and Cucumber Sauce;Zesty Quinoa Salad;Curry Stand Chicken Tikka Masala Sauce;Butternut Squash and Turkey Chili;Kathy's Cabbage Soup;Simple Turkey Chili;Quinoa Black Bean Burgers;Indian Fish Curry;Sheet Pan Chicken Fajitas;Homemade Black Bean Veggie Burgers;Slow Cook Thai Chicken;Chicken and Corn Chili;Quinoa and Black Beans;Red Lentil Curry;Insanely Easy Vegetarian Chili;Chef John's Chicken Tikka Masala;Slow Cooker Carnitas;Vegan Black Bean Soup;Mexican Bean Salad;Best White Chicken Chili"
currant,Simple Scones
date,Refined Sugar Free-Mango Sticky Rice
dill,Russian Mushroom and Potato Soup;Hungarian Mushroom Soup;Cheesiest Potato Soup;Smoked Salmon Quiche;Russian Green Bean and Potato Soup;Afghan Tomato Soup (Aush Goshti);Croissant and Salmon Breakfast Casserole;Smoked Salmon and Egg Salad;Oven Roasted Potatoes;Barbie's Tuna Salad;New Wife Tuna Salad;Zucchini Soup I;Sean's Falafel and Cucumber Sauce;Fresh Tomato Zucchini Soup;Garden Veggie Zucchini Soup;Smoked Salmon Dill Eggs Benedict;Vegetarian Chickpea Sandwich Filling
egg,"Bacon Cheese Frittata;Eggs Benedict with Salmon;Make-Ahead Sour Cream Coffee Cake;Easy Meatloaf;Pecan Sour Cream Coffee Cake;Downeast Maine Pumpkin Bread;Bacon Cheese Muffins;Bacon and Potato Frittata with Greens;Cream Cheese Pound Cake I;Country House Bed and Breakfast Casserole;Yummy Sweet Potato Casserole;Bacon, Egg, and Cheese Breakfast Bombs;Delicious Egg Salad for Sandwiches;Baked Cider Doughnuts;Barb's Fried Green Tomatoes with Zesty Sauce;Eggy Veggie Bake;Chorizo Breakfast Tacos with Potato Hash and Eggs;Lemon-Buttermilk Pound Cake with Aunt Evelyn's Lemon Glaze;Country Sunday Breakfast Casserole;Chef John's Fried Green Tomatoes ;Strawberry Bread;Mom's Zucchini Bread;Scones;Fluffy French Toast;Easy Pancakes;Waffles I;Buffalo Chicken Skillet;Spicy Fried Green Tomatoes;Apple-Raisin French Toast Casserole;Creamy Ham and Cheese Quiche;Blueberry Sour Cream Coffee Cake;Baked Denver Omelet;Easy Broccoli Quiche;Vanilla-Almond Spiced French Toast;The Best Ricotta Pancakes;Christmas Breakfast Sausage Casserole;Super Easy Egg Casserole;Chef John's Sweet Potato Muffins;Creamy Cottage Cheese Scrambled Eggs;Black Bean Huevos Rancheros;Kentucky Style Fried Green Tomatoes;Smoked Salmon Quiche;Egg and Sausage Casserole;Authentic Pad Thai;Overnight Blueberry French Toast;True Maryland Crab Cakes;Red Skinned Potato Salad;Banana Sour Cream Bread;Breakfast Biscuits;Best Chocolate Chip Cookies;Apple Puff Pancake;Blueberry Zucchini Bread;Kedgeree;Bacon, Egg, and Cheese Strata;Gnocchi I;Sausage-Stuffed Eggplant;Easy Quiche;Authentic Huevos Rancheros;Air Fryer Breakfast Frittata;Brooke's Best Bombshell Brownies;Broccoli Souffle;Quiche Lorraine I;Chakchouka (Shakshouka);Bacon Cheddar Chive Muffins;Sour Cream Coffee Cake I;Tuna Salad Muffins;Southern Fried Green Tomatoes;Green Chile Frittata;Broccoli and Rice Stir Fry;Classic Cinnamon Rolls;Chicken Parmesan;Clark's Quiche;Chef John's Banana Bread;Croissant and Salmon Breakfast Casserole;Pumpkin Bread IV;Quick Quiche;Ninety Minute Cinnamon Rolls;Basic Crepes;Karen's Fried Green Tomatoes;Best Brownies;Cheddar Cheese Muffins;World's Best Lasagna;Mexican Egg Bake;Macaron (French Macaroon);Eggplant Caponata (Sicilian Version);Best Fried Green Tomatoes;White Chocolate Raspberry Cheesecake;Old Fashioned Potato Salad;Good Old Fashioned Pancakes;French Toast I;Nan's Potato and Egg Frittata;Oat Crusted Fish;Old Fashioned Onion Rings;Irresistible Double Chocolate Muffins;Smoked Salmon and Egg Salad;Chocolate Protein Muffins;Crabmeat Quiche;Herb, Sausage, and Cheese Dutch Baby;Spinach and Potato Frittata;Bacon and Egg Breakfast Salad with Avocado Dressing;Quick and Easy Eggs Benedict;Scrambled Egg Muffins;Spinach Quiche;Banana Banana Bread;Eggs n' Fries;Easy Mac and Cheese Muffins;Chocolate Cream Puff Swans;Apple Cider Glazed Doughnuts;Make-Ahead Breakfast Bars;Ashley's Apple Cider Doughnuts;To Die For Blueberry Muffins;Gluten Free Fried Green Tomatoes;Easy Pumpkin Pancakes;Bird's Nest Breakfast Cups;Pumpkin Waffles with Apple Cider Syrup;The Best Rolled Sugar Cookies;Chef John's Quiche Lorraine;Blueberry Waffles with Fast Blueberry Sauce;Pumpkin French Toast Bake;Scrambled Eggs Done Right;New Wife Tuna Salad;Sarah's Fried Green Tomatoes;Aussie Breakfast Egg Mess;Sean's Falafel and Cucumber Sauce;Sukhothai Pad Thai;Three Cheese Breakfast Bake;Hash Brown and Egg Casserole;Best Big, Fat, Chewy Chocolate Chip Cookie;Perfect Breakfast;Buttermilk Pancakes II;Crab Brunch Casserole;Oatmeal Pancakes II;Whole Wheat, Oatmeal, and Banana Pancakes;Buttermilk Doughnuts;Chinese Chicken Fried Rice II;Zucchini Patties;Amazing Muffin Cups;Shrimp Quiche;Crustless Spinach Quiche;Bacon, Potato, and Egg Taco Ole;Award Winning Soft Chocolate Chip Cookies;Turkey Veggie Meatloaf Cups;Simple Scones;Smoked Salmon Scramble;Cheesy Amish Breakfast Casserole;Quinoa Black Bean Burgers;Spicy Edam Shrimp Quiche;Grandma's Lemon Meringue Pie;Brown Sugar Meatloaf;Carol's Baked Ziti Casserole;Breakfast Pies;The Most Easy and Delish Meatloaf EVER!;Cheesy Bacon-Sausage-Egg-Hash Brown Skillet;Fried Green Tomatoes with Shrimp Remoulade;Oven Scrambled Eggs;Banana Pancakes I;The Best Meatloaf;Green Squash Soup;Smoked Salmon Frittata;Sour Cream Coffee Cake III;Sour Cream Blueberry Coffee Cake;Homemade Black Bean Veggie Burgers;Broccoli Cheese Bake;Mini Meatloaves;Asparagus, Potato, and Onion Frittata;Ratatouille;Polish Cream Cheese Coffee Cake;Parmalet (Crisp Parmesan Omelet);Savory French Crepes ;Light and Fluffy Spinach Quiche;Savory Bacon and Crab Bread Pudding Eggs Benedict;Easy Bacon and Cheese Quiche;Fluffy Pancakes;Baked French Toast;Banana Crumb Muffins;Rach's Broccoli Casserole;Mini Spinach and Crab Quiche;Cinnamon Rolls III;Crab and Swiss Quiche;Baked Oatmeal Breakfast Bars;Seafood Omelets with Creamy Cheese Sauce;Banana Cinnamon Roll Casserole;Eggs Benedict Breakfast Pizza;Easy Salsa Meatloaf;Ooey-Gooey Cinnamon Buns;Fried Green Tomatoes III;Best Buckwheat Pancakes;Smoked Salmon Dill Eggs Benedict;Tender and Easy Buttermilk Waffles;Salmon and Swiss Chard Quiche;Whole Wheat Blueberry Muffins;Old Fashioned Coconut Cream Pie;Easy Southern Fried Green Tomatoes;Disney's Ratatouille;Classic Waffles;Paleo Baked Eggs in Avocado;Grandma Johnson's Scones;Charleston Breakfast Casserole;Sugar Coated Pecans;Broccoli Cauliflower Casserole;Baked Apple Roses;Applesauce Pumpkin Spice Bread ;Northern Fried Green Tomatoes"
egg noodle,Campbell's Tuna Noodle Casserole
fennel,Winter Root Soup;Homemade Sweet Italian Sausage (Mild or Hot);World's Best Lasagna;Zucchini Fenchel Suppe (Zucchini and Fennel Soup)
fenugreek,Vegan Red Lentil Soup
feta cheese,Spinach Stuffed Chicken Breasts;Herb Watermelon Feta Salad;Green Tomato Pasta Toss;Blueberry Walnut Salad;Greek Chicken Pasta;Herb 'n Honey Cucumber Tomato Salad;Greek Salad I;Mediterranean Zucchini 'Pasta' Salad;Mediterranean Greek Salad
fish,Goong Tod Kratiem Prik Thai (Prawns Fried with Garlic and White Pepper);Pad Kee Mow (Drunkard's Noodles);Thai Chicken Curry in Coconut Milk;Authentic Pad Thai;Thai Pineapple Chicken Curry;The Best Thai Peanut Sauce;Thai Chicken with Basil Stir Fry;Vietnamese Rice Noodle Salad;Panang Curry with Chicken;Thai Green Curry Chicken;Saltfish Buljol;Tom Ka Gai (Coconut Chicken Soup);Thai Carrot Salad;Vietnamese Fresh Spring Rolls;Spicy Thai Basil Chicken (Pad Krapow Gai);Indian Fish Curry;The Best Thai Coconut Soup;Yam Taeng (Spicy Cucumber Salad);Chicken Massaman Curry;Thai Spicy Basil Chicken Fried Rice;Thai Chicken Satay
flower,Winter Green Salad;Broccoli and Tortellini Salad;Alyson's Broccoli Salad
fruit,Annie's Fruit Salsa and Cinnamon Chips;Perfect Summer Fruit Salad
garlic,"Oriental Cold Noodle Salad;Zucchini Herb Casserole;Winter Leek and Potato Soup;Goong Tod Kratiem Prik Thai (Prawns Fried with Garlic and White Pepper);Roasted Beets and Sauteed Beet Greens;Low Carb Cauliflower Leek Soup;Bacon Cheese Muffins;Bacon and Potato Frittata with Greens;Chicken Tikka Masala;Creamy Asparagus and Cauliflower Soup;Smooth Cauliflower Soup;Eggy Veggie Bake;Judy's Hearty Vegetable Minestrone Soup;Chorizo Breakfast Tacos with Potato Hash and Eggs;Quick Creamed Curried Corn ;Jamie's Minestrone;Spicy Black Bean Vegetable Soup;Chicken Makhani (Indian Butter Chicken);Summer Zucchini Stew;Pad Kee Mow (Drunkard's Noodles);Cheesy Grilled Broccoli;Roasted Garlic Lemon Broccoli;Old Charleston Style Shrimp and Grits;White Bean Chicken Chili;Tortellini Minestrone Soup;Winter Green Salad;Stir-Fried Kale and Broccoli Florets;Cream of Cauliflower Soup II;Broccoli with Garlic Butter and Cashews;Spicy Fried Green Tomatoes;Broccoli in Roast Chicken Drippings;Easy Broccoli Quiche;Chicken and Artichoke Minestrone;Chicken Souvlaki with Tzatziki Sauce;Super Easy Egg Casserole;Black Bean Huevos Rancheros;Laura's Quick Slow Cooker Turkey Chili;Healthier Potato and Cauliflower Soup;Roasted Cauliflower Soup;Authentic Pad Thai;Easy Minestrone;Spinach Stuffed Chicken Breasts;Classic Minestrone Soup;Kickin' Collard Greens;Zucchini and Pork Soup;Fabulous Roasted Cauliflower Soup;Green Beans with Cherry Tomatoes;Cedar Planked Salmon;Peanut Butter Noodles;Slow Cooker Chicken Pot Pie Stew;Slow Cooker Beef Pot Roast;Spicy Basil Chicken;Addictive Asian Beef Slaw (Crack Slaw);Sweet Potato Minestrone;Mama's Hearty Minestrone;Cape Malay Pickled Fish;Garlic Roasted Broccoli with Parmesan Cheese;Sausage-Stuffed Eggplant;Firecracker Grilled Alaska Salmon;Chakchouka (Shakshouka);The Best Thai Peanut Sauce;Slow Cooker Chicken with Mushroom Wine Sauce;Shrimp and Grits With Kielbasa;Bacon Cheddar Chive Muffins;Zucchini and Potato Bake;Cream of Cauliflower and Stilton Soup;Tuna Salad Muffins;Bacon Ranch Pasta Salad;Lena's Minestrone;Mexican Zucchini Cheese Soup;Pumpkin Soup;Thai Red Curry Paste;Roasted Cauliflower, Garlic, and Leek Soup;Homemade Sweet Italian Sausage (Mild or Hot);Afghan Tomato Soup (Aush Goshti);Italian Sausage Soup with Tortellini;Croissant and Salmon Breakfast Casserole;Khao Man Gai Thai Chicken and Rice (Healthy Version);Jersey Fresh Tomato Soup;Navy Bean Soup I;Buttery Garlic Green Beans;Thai Noodle Salad;New Orleans Barbeque Shrimp;Honey Mustard Pork Chops;The Best Marinade Around;Refried Beans Without the Refry;Simple Broccoli Soup with Cheddar Croutons ;World's Best Lasagna;Foolproof Rib Roast;Eggplant Caponata (Sicilian Version);Thai Chicken with Basil Stir Fry;Old Fashioned Potato Salad;Momma's Shrimp and Cheese Grits;Beef, Green Chili and Tomato Stew;Spicy Garlic Lime Chicken;Grilled Garlic Parmesan Zucchini;One Skillet Mexican Quinoa;Slow Cooker Vegetarian Minestrone;Zucchini Soup III;Lemon-Parsley Green Beans;Andrea's Pasta Fagioli;Oven Roasted Potatoes;Chef John's Ham and Potato Soup;Spinach and Potato Frittata;Picante Chicken Chili;Authentic Chicken Tikka Masala;Bacon and Egg Breakfast Salad with Avocado Dressing;The Best Vegetarian Chili in the World;Zucchini Tomato Soup I;Garlic Red Potatoes;Scrambled Egg Muffins;Simple Garlic Shrimp;Spinach Quiche;Vegan Red Lentil Soup;Curried Cauliflower Soup;Awesome Broccoli Marinara;Fried Cabbage with Bacon, Onion, and Garlic;Roasted Apples and Brussels Sprouts;Best Darn Minestrone Soup Around;Vegetable Beef Minestrone;Minestrone Soup I;Barbie's Tuna Salad;Broccoli Rabe with Roasted Peppers;Gluten Free Fried Green Tomatoes;Easy Lemon and Garlic Broccoli;Easy Spicy Thai Slow Cooker Chicken;Garlic Mashed Cauliflower;Vietnamese Rice Noodle Salad;Chicken Satay;Thai Green Curry Chicken;Simple Roasted Butternut Squash;Sarah's Fried Green Tomatoes;Curried Butternut Squash Soup;Zucchini Gazpacho;Sean's Falafel and Cucumber Sauce;Sukhothai Pad Thai;Fresh Tomato Zucchini Soup;Keto Instant Pot Soup (Low Carb);Hash Brown and Egg Casserole;Browned Butter Vegetables with Almonds;Thai Carrot Salad;Red Curry Coconut Squash Soup;Lemon-Garlic Shrimp and Grits;Ginger Glazed Mahi Mahi;Angela's Awesome Enchiladas;Greek Chicken Pasta;Minestrone Soup II;Skewered Grilled Potatoes;Curry Stand Chicken Tikka Masala Sauce;Curried Coconut Chicken;Bean Soup With Kale;Butternut Squash and Turkey Chili;Spicy Garlic and Pepper Shrimp;Mama Kathy's Minestrone;Instant Pot Vegan Vegetable and Barley Soup;Ken's Minestrone Soup;Vietnamese Fresh Spring Rolls;Slow Cooker Thai Peanut Pork;Fat Granny's Minestrone Soup;Spicy Thai Basil Chicken (Pad Krapow Gai);Curried Cream of Cauliflower Soup;Simple Turkey Chili;Shrimp Scampi with Pasta;Tomato Basil Penne Pasta;Quinoa Black Bean Burgers;Black Bean and Corn Salad II;Beef and Guinness Stew;Indian Fish Curry;Healing Cabbage Soup;Absolutely The Best Shrimp Scampi;Tequila Shrimp;Sheet Pan Chicken Fajitas;Pan Fried Brussels Sprouts;The Most Easy and Delish Meatloaf EVER!;Cheesy Bacon-Sausage-Egg-Hash Brown Skillet;Broccoli and Brussels Sprout Delight;Leek Potato Mushroom Cheddar Soup;Fried Green Tomatoes with Shrimp Remoulade;Maria's Broccoli Rabe;Absolutely Ultimate Potato Soup;Crispy Fish;Green Squash Soup;Oven Baked Sweet Potato Fries;Fantastic Black Bean Chili;Cauliflower and White Cheddar Cheese Soup;Carrot and Ginger Soup;Baked Shrimp Scampi;Best Italian Sausage Soup;Homemade Black Bean Veggie Burgers;Slow Cook Thai Chicken;Zucchini Tomato Soup II;Roasted Beets 'n' Sweets;Chicken and Corn Chili;Corrigan's Minestrone;Day-After-Thanksgiving Turkey Carcass Soup;Super-Delicious Zuppa Toscana;Chef John's Stuffed Peppers;Cream of Cauliflower Soup With Bacon Gremolata;Oven-Roasted Asparagus;Ratatouille;Quinoa and Black Beans;Garden Veggie Zucchini Soup;Prosciutto Fave Minestrone alla Riso ;Lemon Chicken Piccata;Red Lentil Curry;Slow Cooker Beef Stew I;Beaker's Vegetable Barley Soup;Baked Broccoli;Roasted Sage Broccoli;RITZ ""Everything"" Bites with Lox and Schmear;Chef John's Shrimp and Grits ;Roasted Cauliflower and Leek Soup;Slow Cooker Zucchini Soup;Cheesy Sausage and Vegetable Soup;Roasted Garlic Cauliflower;Insanely Easy Vegetarian Chili;Chef John's Chicken Tikka Masala;Mediterranean Zucchini 'Pasta' Salad;Roasted Yam and Kale Salad;Easy Salsa Meatloaf;Caesar Salad Supreme;Chinese Cold Pasta Salad;Sharon's Awesome Chicago Chili;Baked Salmon II;Easy Garlic-Lemon Scallops;Baked Buffalo Wings;Grandma's Slow Cooker Vegetarian Chili;Roasted Carrot and Cauliflower Curried Soup;Chef John's Minestrone Soup;Slow Cooker Carnitas;Split Pea Soup with Rosemary;Thai Chicken Bites With Dipping Sauce;Thai Spicy Basil Chicken Fried Rice;Sweet Russian Cabbage Soup;Disney's Ratatouille;Vegan Black Bean Soup;Mexican Bean Salad;Broccoli Cheese Soup;Nichole's Chicken Cauliflower Soup;Roquefort Pear Salad;Garlic Shrimp and Cheesy Grits;Buffalo Chicken Wing Sauce;Slow Cooker Texas Pulled Pork;Pan-Fried Asparagus;Northern Fried Green Tomatoes;Israeli Tomato and Cucumber Salad;Chicken Milano;Baked Beans, Texas Ranger"
ginger,"Downeast Maine Pumpkin Bread;Chicken Tikka Masala;Chef John's Sweet Potato Muffins;Cedar Planked Salmon;Peanut Butter Noodles;Addictive Asian Beef Slaw (Crack Slaw);Firecracker Grilled Alaska Salmon;The Best Thai Peanut Sauce;Khao Man Gai Thai Chicken and Rice (Healthy Version);Thai Chicken with Basil Stir Fry;Quick Pumpkin Oatmeal;Authentic Chicken Tikka Masala;Vegan Red Lentil Soup;Pumpkin Waffles with Apple Cider Syrup;Apple Orchard Punch;Thai Green Curry Chicken;Sweet Potato, Carrot, Apple, and Red Lentil Soup;Tom Ka Gai (Coconut Chicken Soup);Red Curry Coconut Squash Soup;Ginger Glazed Mahi Mahi;Curry Stand Chicken Tikka Masala Sauce;Indian Fish Curry;Brown Sugar Meatloaf;Pumpkin Pancakes;Wonton Soup;Carrot and Ginger Soup;Red Lentil Curry;The Best Thai Coconut Soup;Chicken Massaman Curry;Chef John's Chicken Tikka Masala;Thai Chicken Bites With Dipping Sauce;Applesauce Pumpkin Spice Bread "
grape,Perfect Summer Fruit Salad
